已完成重跑课件（共 112 个）
《蟋蟀的住宅》PPT课件 |  | 风格:fr-mint | ID:bccf87f6-4cdc-4eda-ba35-8d78b4547ff6
《现代诗二首·秋晚的江上》 H5互动课件（重制版） | 语文四年级 | 风格:fr-mint | ID:05ff31a9-c346-479e-9a79-9a232f5de46b
《现代诗二首·秋晚的江上》H5互动课件 | 语文四年级 | 风格:fr-mint | ID:2e24bd6c-0271-450f-91cd-952a0deb1344
《现代诗二首·秋晚的江上》PPT课件 |  | 风格:fr-mint | ID:9b27d636-58e7-44c8-9bc0-f07811db4e44
《雪梅》 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:3956a600-9566-469d-8172-141b9cb5b632
《雪梅》H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:e71946d4-5439-468f-a970-da14ac730bcb
《雪梅》PPT课件 |  | 风格:zgf-ink-wash | ID:06964cfc-27a2-4c6c-a256-c40e8387910a
《一个豆荚里的五粒豆》 H5互动课件（重制版） | 语文四年级 | 风格:sp-cartoon | ID:c034a3bd-5c6f-4d72-8f1f-a08916988318
《一个豆荚里的五粒豆》H5互动课件 | 语文四年级 | 风格:sp-cartoon | ID:57b292b4-f5c9-40a6-bf5d-c5e92d7a7f03
《一个豆荚里的五粒豆》PPT课件 |  | 风格:sp-cartoon | ID:329c08e7-4a6b-4955-ba0c-c3668a45aa18
《植物的光合作用》 H5互动课件（重制版） | 科学四年级 | 风格:min-classic-blue | ID:5958f1fb-4965-4520-aefc-885c21e86286
《植物的光合作用》H5互动课件 | 科学四年级 | 风格:min-classic-blue | ID:acd8c78f-5797-4883-843c-1a446500a30d
《走月亮》 H5互动课件（重制版） | 语文四年级 | 风格:fr-mint | ID:72852e0e-27ba-4645-a470-60a70af178cc
《走月亮》赏析 H5互动课件（重制版） | 语文四年级 | 风格:fr-mint | ID:01cacab1-9065-4645-bbc1-34668f5d7fc7
《走月亮》赏析H5互动课件 | 语文四年级 | 风格:fr-mint | ID:ad2ead36-b0f7-42ef-b93c-4ac781697473
《走月亮》赏析PPT课件 |  | 风格:fr-mint | ID:2d8c845c-66c0-43d6-af51-4d91a741908e
《走月亮》H5互动课件 | 语文四年级 | 风格:fr-mint | ID:b85d3958-d0fa-427f-8be0-2fca6cd9ecb2
《走月亮》PPT课件 |  | 风格:fr-mint | ID:fdedadbe-b308-4ecf-9630-bff12b960719
分数的意义_H5课件(新版生成) | 数学五年级 | 风格:min-classic-blue | ID:a40f31bd-b16a-4b53-8fde-1b9b794499e5
观潮_风格对照_china | 语文四年级 | 风格:zgf-ink-wash | ID:c7b02d67-d470-4e79-ad0f-e26dfc71470f
观潮_风格对照_tech | 语文四年级 | 风格:te-quantum-blue | ID:165f3dc6-0cd3-411c-8480-c0cee796edd8
观潮_H5课件(新版生成) | 语文四年级 | 风格:zgf-ink-wash | ID:d1651b56-5deb-4e1a-97a6-ca6b3b69b498
简单电路_H5课件(新版生成) | 科学四年级 | 风格:te-quantum-blue | ID:c3aa1c7a-8313-4f3f-9bfe-d89c04765078
生产验证·直接发布 H5互动课件（重制版） | 语文四年级 | 风格:min-classic-blue | ID:b1400612-59cb-4d6b-bf59-b3ef645f4640
生产验证·直接发布H5互动课件 | 语文四年级 | 风格:min-classic-blue | ID:382b182a-6c53-427f-a9f5-3212824caa9a
生产验证·直接发布PPT课件 |  | 风格:min-classic-blue | ID:68db5966-83e3-4d2e-a933-83fcb22ba083
水的三态变化_H5课件(新版生成) | 科学三年级 | 风格:fr-mint | ID:3ef9775a-e270-4cca-bcaf-ab74f77a98e3
Unit 1 My classroom H5互动课件 | 英语四年级 | 风格:fr-mint | ID:6a9592de-9f17-4b58-b2e4-d742d68b231c
Unit 1 My classroom H5互动课件（重制版） | 英语四年级 | 风格:fr-mint | ID:8fbeca02-a96b-4485-bbd3-e85401f70a6a
Unit 1 My classroom PPT课件 |  | 风格:fr-mint | ID:5d1cba59-59f4-4eb8-b0b5-3cd6ffb99e5c
Unit 2 My schoolbag H5互动课件 | 英语四年级 | 风格:sp-cartoon | ID:0461140d-fad1-4a5f-83f2-679f4a4cf9fa
Unit 2 My schoolbag H5互动课件（重制版） | 英语四年级 | 风格:sp-cartoon | ID:6e38f32f-0f24-4675-9c9f-a69e658e29c6
Unit 2 My schoolbag PPT课件 |  | 风格:sp-cartoon | ID:dd10ccec-33f3-419d-9e6a-dbd84410cc65
Unit 3 Look at me_H5课件(新版生成) | 英语三年级 | 风格:sp-cartoon | ID:2568c3d7-cb4c-4bc8-b3ba-38da31d61dbc
Unit 3 My friends H5互动课件 | 英语四年级 | 风格:sp-cartoon | ID:99141554-876c-4fe6-991d-4b84deb15422
Unit 3 My friends H5互动课件（重制版） | 英语四年级 | 风格:sp-cartoon | ID:40380e7f-75ab-4093-8788-c986d0fac376
Unit 3 My friends PPT课件 |  | 风格:sp-cartoon | ID:ed875628-e6a5-4fba-8639-d5b2ed1be90d
